Программист; ООО РБУ №2; Не указано; 3–6 лет; удалённо; Не указано; Не указано
Программист 1С; ОДО ЮКОЛА-ИНФО-Брест; Не указано; 3–6 лет; удалённо; Не указано; Вакансия опубликована 25 марта 2025 в Бресте
Ведущий программист 1С; ОАО Берестейский пекарь; от 2 500 Br за месяц, на руки; Не указано; Не указано; Не указано; Не указано
Lead Generation Specialist (USA); ООО Брайт Эйдженси; Не указано; не требуется; на месте работодателя, удалённо или гибрид; Не указано; Не указано
Руководитель проектов; ОДО ЮКОЛА-ИНФО-Брест; Не указано; 3–6 лет; на месте работодателя или гибрид; Не указано; Вакансия опубликована 21 апреля 2025 в Бресте
Node Developer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; на месте работодателя или гибрид; Не указано; Не указано
Trainee Python Developer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; Не указано; Не указано; Не указано
Разработчик Frontend (React); RedLab; Не указано; 3–6 лет; удалённо; JavaScript,HTML,CSS,React; Вакансия опубликована 10 апреля 2025 в Бресте
Ведущий разработчик PHP (Laravel, Битрикс24); RedLab; Не указано; 3–6 лет; удалённо; PHP,Laravel,SOLID,Blade,Twig,Битрикс24,Yii; Вакансия опубликована 10 апреля 2025 в Бресте
Бухгалтер по заработной плате/Аналитик; ОДО ЮКОЛА-ИНФО-Брест; Не указано; 1–3 года; удалённо или гибрид; 1С: Бухгалтерия,1С: Предприятие 8,1С: Зарплата и управление персоналом,Бухгалтерская отчетность,Консультирование,Бухгалтерский учет; Вакансия опубликована 9 апреля 2025 в Бресте
Инженер-программист (C++/Qt); ООО СТиМ; Не указано; 3–6 лет; на месте работодателя; Не указано; Не указано
Intern/Junior Salesforce Developer; ООО Сакцесс; Не указано; не требуется; Не указано; Не указано; Не указано
Ведущий специалист по информационной безопасности/системный администратор; ОДО ЮКОЛА-ИНФО-Брест; Не указано; 3–6 лет; на месте работодателя; Информационная безопасность,ИТ-инфраструктура,MS SQL Server,Linux,Администрирование сетевого оборудования,Управление информационной безопасностью; Вакансия опубликована 26 марта 2025 в Бресте
Бизнес-аналитик 1С; ОДО ЮКОЛА-ИНФО-Брест; Не указано; 3–6 лет; Не указано; 1С: Бухгалтерия,1С: Предприятие 8,Бухгалтерский учет; Вакансия опубликована 25 марта 2025 в Бресте
Менеджер по корпоративным продажам (IT-услуги); ОДО ЮКОЛА-ИНФО-Брест; Не указано; 3–6 лет; на месте работодателя или гибрид; Ведение переговоров,Навыки продаж,Деловое общение,Работа с возражениями,Поиск и привлечение клиентов,Консультирование клиентов,Сопровождение клиентов,Знание 1С Предприятие,B2B Продажи; Вакансия опубликована 26 марта 2025 в Бресте
Программист Битрикс; ВайдВэб; Не указано; 1–3 года; удалённо; Не указано; Не указано
CAD/CAM Разработчик; Йотек, ЧП; до 2 500 $ за месяц, на руки; более 6 лет; удалённо; Не указано; Не указано
Инженер-программист; Буг Транс Континенталь; Не указано; 3–6 лет; на месте работодателя или гибрид; Не указано; Не указано
Trainee\Junior JavaScript React программист\ React developer; ООО СенамаСофт; Не указано; не требуется; Не указано; Не указано; Не указано
Программист 1С8; ООО СоларШоп; Не указано; 1–3 года; на месте работодателя, удалённо или гибрид; Не указано; Не указано
Frontend Software Engineer (Брест); ООО ВебДэд; Не указано; 1–3 года; на месте работодателя; Не указано; Не указано
Middle+/Senior Flutter developer; ИП Филиппович Вячеслав Васильевич; Не указано; 3–6 лет; удалённо; Не указано; Не указано
Node.js Backend Developer (Middle); ООО ПикселПлекс Лабс; Не указано; 1–3 года; Не указано; Не указано; Не указано
Frontend-разработчик; ООО Атеви Системс; от 2 300 до 3 000 Br за месяц, до вычета налогов; Не указано; Не указано; Не указано; Не указано
Node Developer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; на месте работодателя или гибрид; Не указано; Не указано
Программист; ООО РБУ №2; Не указано; 3–6 лет; удалённо; Не указано; Не указано
Project Manager / Менеджер проектов (стажер); Aston; от 390 $ за месяц, до вычета налогов; не требуется; удалённо; Управление проектами,Project management,Бизнес-анализ,Менеджмент,Английский язык,Ответственность,Коммуникабельность,Маркетинг,ООП,Активные продажи,Деловая коммуникация,B2B Продажи,Проектный менеджмент,Atlassian Jira,Agile; Вакансия опубликована 18 апреля 2025 в Бресте
Дизайнер-консультант (Менеджер по работе с клиентами); ООО Кухни ЮрСт; от 1 000 до 4 000 Br за месяц, на руки; не требуется; Не указано; Не указано; Не указано
Junior System Administrator; ЗАО Водород; от 1 500 Br за месяц, до вычета налогов; не требуется; на месте работодателя или гибрид; Не указано; Не указано
Junior C++ Developer; ООО Пресс Фире Гамес; Не указано; не требуется; Не указано; Не указано; Не указано
Junior Game Designer (Balance); Леста Игры; Не указано; не требуется; на месте работодателя; Не указано; Не указано
Junior Front-end Developer; BP Mobile; Не указано; 1–3 года; на месте работодателя; Не указано; Не указано
Junior Recruiter; Леста Игры; Не указано; 1–3 года; Не указано; Не указано; Не указано
QA Engineer junior; ООО РиэлтБай; Не указано; 1–3 года; на месте работодателя; Не указано; Не указано
Разработчик Битрикс24 (PHP+JavaScript); ООО ТехноИнновация; до 7 000 Br за месяц, на руки; 1–3 года; Не указано; Не указано; Не указано
Бизнес-аналитик Junior; СИСТЕМНЫЕ ТЕХНОЛОГИИ; Не указано; не требуется; Не указано; Business Analysis,Бизнес-анализ,Расчетно-кассовое обслуживание юридических лиц,Английский — A1 — Начальный; Вакансия опубликована 20 апреля 2025 в Минске
Junior SEO Specialist; Crezu; Не указано; 1–3 года; удалённо; Не указано; Не указано
Junior Web Developer (XSLT); GP Solutions; Не указано; 1–3 года; удалённо; Не указано; Не указано
Junior QA Engineer (desktop); СИСТЕМНЫЕ ТЕХНОЛОГИИ; Не указано; не требуется; на месте работодателя; QA,Тестирование,desktop; Вакансия опубликована 20 апреля 2025 в Минске
Программист Python (FastApi, Django); Иксван; Не указано; не требуется; Не указано; Не указано; Не указано
Junior Android developer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; на месте работодателя; Не указано; Не указано
Project Manager/Project Coordinator; Веб Маркетинг; Не указано; 1–3 года; гибрид; Не указано; Не указано
Mid-Junior → Middle Tech Support Specialist; ООО Онлайн Маршрутки; от 1 000 до 1 200 Br за месяц, до вычета налогов; 1–3 года; удалённо; Не указано; Не указано
Junior Node.js Developer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; Не указано; Не указано; Не указано
